일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
1,2023 계묘년 토끼의 해 카드형 골드 1.87g,1.87,310000,Au 999.9,골드바 12x20mm 카드 86x54mm,"카드형 골드, 보증서, 아우터 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 12x20mm 카드 86x54mm무게:1.87g구성:카드형 골드, 보증서, 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
2,2023 계묘년 토끼의 해 카드형 골드 11.25g,11.25,1760000,Au 999.9,골드바 16x27mm 카드 86x54mm,"카드형 골드, 보증서, 아우터 케이스","소재:순금 Au999.9크기:골드바 16x27mm 카드 86x54mm무게:11.25g구성:카드형 골드, 보증서, 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
3,2023 계묘년 토끼의 해 카드형 골드 3.75g,3.75,600000,Au 999.9,(가로X세로) 골드바 12X20mm 카드 86X54mm,"카드형 골드, 보증서, 아우터 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 12X20mm 카드 86X54mm무게:3.75g구성:카드형 골드, 보증서, 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
4,2023 계묘년 토끼의 해 카드형 골드 37.5g,37.5,5900000,Au 999.9,골드바 22x38mm 카드 86x54mm,"카드형 골드, 보증서, 아우터 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 22x38mm 카드 86x54mm무게:37.5g구성:카드형 골드, 보증서, 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
5,2024 갑진년 용의 해 카드형 골드 1.87g,1.87,310000,Au 999.9,골드바 12x20mm 카드 86x54mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 12x20mm 카드 86x54mm무게:1.87g구성:메달, 카드케이스(보증서 포함), 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
6,2024 갑진년 용의 해 카드형 골드 11.25g,11.25,1760000,Au 999.9,골드바 16x27mm 카드 86x54mm,"카드형 골드, 보증서, 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 16x27mm 카드 86x54mm무게:11.25g구성:카드형 골드, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
7,2024 갑진년 용의 해 카드형 골드 3.75g,0,600000,Au 999.9,골드바 12x20mm 카드 86x54mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 12x20mm 카드 86x54mm무게:3.75g구성:메달, 카드케이스(보증서 포함), 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
8,2024 갑진년 용의 해 카드형 골드 37.5g,37.5,5900000,Au 999.9,골드바 22x38mm 카드 86x54mm,"카드형 골드, 보증서, 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 22x38mm 카드 86x54mm무게:37.5g구성:카드형 골드, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
9,2025 을사년 뱀의 해 카드형 골드 1.87g,1.87,320000,Au 999.9,골드바 12X20mm UNC,"카드형 골드, 보증서, 케이스","소재:순금 Au999.9크기:12X20mm무게:1.87g구성:카드형 골드, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
10,2025 을사년 뱀의 해 카드형 골드 11.25g,11.25,1816000,Au 999.9,골드바 16X27mm UNC,"카드형 골드, 보증서, 케이스","소재:순금 Au999.9크기:16X27mm무게:11.25g구성:카드형 골드, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
